브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,,,,,,,,,,,,,
48,로팜므EDT,여성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,플로럴,프루티,머스크,우디",,,,지미추,,,,,,,,,,,,
49,퀴르카발리에EDP,중성,포멀,"가을,겨울",무거운,"레더,로즈,얼씨,우디,메탈릭",,,,mdci,49,,,,,,,,,,,
50,타박로즈EDP,중성,포멀,"가을,겨울",무거운,"프루티,로즈,스파이시,타바코,프랄린",,,,bdk,50,,,,,,,,,,,
50,그리사르넬엑스트레PARFUM,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,파우더리,얼씨",,,,bdk,,,,,,,,,,,,
50,시트러스리비에라EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,워터리",,,,bdk,,,,,,,,,,,,
50,우드자스민EDP,중성,포멀,"가을,겨울",무거운,"앰버,프루티,우디,스모키,프루티",,,,bdk,,,,,,,,,,,,
50,그리사르넬EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,스파이시,아로마틱,파우더리,프루티",,,,bdk,,,,,,,,,,,,
50,빠스수아EDP,중성,"캐쥬얼,포멀",사계절,중간,"플로럴,우디,프루티,시트러스,앰버",,,,bdk,,,,,,,,,,,,
50,튜베로즈임페리얼EDP,여성,포멀,"봄,가을,겨울",무거운,"플로럴,우디,바닐라,파우더리,앰버",,,,bdk,,,,,,,,,,,,
50,셀다르장EDP,중성,캐쥬얼,"봄,여름",가벼운,"머스크,앰버,우디,마린,파우더리",,,,bdk,,,,,,,,,,,,
